plane,era,capability,details
Data,On-Prem,RDBMS + nightly ETL,"Files, scheduled loads"
Data,Cloud-Native,Managed stores + streams,"Serverless, pub/sub"
Data,Gen AI,Vectors + feature stores,"Embeddings, features"
Data,Agentic AI,Event graph + world state,"Entity-event timelines"
Data,BCI,Neural buffers + labeled timelines,"EEG/EMG stores"
Model,On-Prem,Classic ML,"On-prem training"
Model,Cloud-Native,Managed training/pipelines,"AutoML, hosted"
Model,Gen AI,Hosted LLMs + fine-tunes,"Foundation models"
Model,Agentic AI,Planners/tools/skills with policy,"Toolformer, skills graph"
Model,BCI,EEG/EMG decoders + fusion,"Multi-signal decoders"
Agent,On-Prem,Scripts/jobs,"Cron, batch"
Agent,Cloud-Native,Workflows,"Orchestration engines"
Agent,Gen AI,Copilots + chat bots,"Task-oriented"
Agent,Agentic AI,Multi-agent orchestration,"Roles, memory, evaluators"
Agent,BCI,Neuro agents with reflex tiers,"Human override"
Control,On-Prem,ITSM + change boards,"Manual approvals"
Control,Cloud-Native,SLOs + runbooks,"Automated remediation"
Control,Gen AI,Eval harness + prompt registry,"Playbooks"
Control,Agentic AI,Policy-as-code + risk maps + auto rollback,"Kill-switches"
Control,BCI,Neuro safety gates + black box recorder,"Clinical review"
Identity,On-Prem,AD + VPN,"Network perimeter"
Identity,Cloud-Native,IAM + SSO,"Fine-grained roles"
Identity,Gen AI,Governance + masking,"PII minimization"
Identity,Agentic AI,Per-action consent + provenance,"Context integrity"
Identity,BCI,Neural consent vault + integrity checks,"Medical-grade privacy"
Safety,On-Prem,Yearly audits,"Point-in-time"
Safety,Cloud-Native,Continuous compliance,"Drift detection"
Safety,Gen AI,Model cards + bias tests,"Audit-ready"
Safety,Agentic AI,Red teaming + drills,"Operational safety"
Safety,BCI,Medical privacy + adverse event reporting,"Clinical duty of care"
Observability,On-Prem,Logs + tickets,"Reactive"
Observability,Cloud-Native,Tracing + metrics,"Golden signals"
Observability,Gen AI,Token logs + eval scores,"Prompt-level telemetry"
Observability,Agentic AI,Recorded plans + tool calls,"Decision traces"
Observability,BCI,Neural event timelines + artifact trails,"End-to-end provenance"
DevOps,On-Prem,DevOps + ITIL,"Change mgmt"
DevOps,Cloud-Native,DevSecOps,"Shift-left security"
DevOps,Gen AI,MLOps + PromptOps,"Model lifecycle"
DevOps,Agentic AI,AIOps + AgentOps,"Agent lifecycle mgmt"
DevOps,BCI,NeuroOps + clinical review,"Human factors"
